1,Ընտրել կրիպտոարժույթը 🏦,Выберите криптовалюту 🏦,Select cryptocurrency 🏦
2,📊 Տեսնել կրիպտոների արժույթը,📊 цены на криптовалюты,📊 cryptocurrency prices
3,🏴‍☠️Ընտրեք բոտի լեզուն,🏴‍☠ выберите язык для бота,🏴‍☠ choose a language for the bot
4,Ընտրեք արտարժույթը,Укажите валюту,Choose your currency
5,"Սեղմեք /start, որպեսզի սկսեք կրկին","Нажмите /start, чтобы начать снова",Press /start to start again
6,Գնել,Купить,Buy
7,Վաճառել,Продать,Sell
8,💱 Ընտրեք գործարքի տեսակը,💱 Выберите тип транзакции,💱 Select the transaction type
9,Կրիպտոարժույթների գինը  այս պահի դրությամբ:,Цены криптовалют на данный момент,The price of cryptocurrencies at the moment
10,"Ուշադրություն, գինը կարող է փոքր ինչ տարբերություն տալ շուկայականից","Внимание, цена может дать небольшую разницу от рыночной","Attention, the price may give a small difference from market's"
11,Գրեք գումարի ցանկալի քանակը փոխանցման համար,"Запишите сумму, которую вы хотите перевести",Write down the amount of money you want to transfer
12,Փոխանցեք գումարը հաշիվներն և ուղարկեք կտրոն,Переведите сумму на один из этих счетов и отправьте купон,Transfer the money to one of these accounts and send the coupon
13,Կտրոնի բացակայության դեպքում մենք հետևանքների համար պատասխանատվություն չենք կրում,При отсутствии купона мы не несем ответственности за последствия,"In case of absence of a coupon, we are not responsible for the consequences."
14,Գումարը Կրիպտոարժույթով,Сумма в криптовалюте,Amount in cryptocurrency
15,Մեր հաշվեհամարը,Наш счет,Our account
16,Գումարի քանակը,Количество денег,Amount of money
17,Խնդրում ենք գրել ձեր,"Пожалуйста, напишите свой номер",Please write your account
18,հաշվեհամարը,счета,wallet
19,Ընտրեք ցանկալի դրամապանակը,Выберите нужный кошелек,Choose the wallet that suits you
20,⚠  գրեք գումարի քանակը ոչ պակաս,⚠️ запишите количество денег не меньше,⚠  write down the amount of money at least
21,⚠  Մուտքագրեք գումարը թվանշաններով,⚠  введите сумму цифрами,⚠  enter the amount with numbers
22,Ձեր փոխանցումը հաջողությամբ կատարված է,Ваш перевод прошел успешно,Your transfer was successful
23,"Ձեր կտրոնը մերժվել է, խնդրում ենք ուղարկել կրկին կամ կապ հաստատել օպերատրի հետ @cuturie","Ваш купон отклонен, пожалуйста, отправьте его еще раз или свяжитесь с оператором @cuturie.","Your coupon is rejected, please send again or contact the operator @cuturie"
24,"Լեզուն փոխվել է, սեղմեք /start","Язык изменен, нажмите /start","The language has been changed, press /start"
25,💥 գործարքը կանգնեցված է նշված ընթացքում կտրոնը չուղարկելու պատճառով:,💥 сделка отменена по причине истечении времени ожидания отправки купона,💥 the transaction is suspended due to ending of the specified time of sending the invoice
26,Լրացնել ձեռքով,Введите вручную,Enter manually
27,Ուղարկեք ավելի հստակ նկար,Отпраьте более четкую фотографию,Send more accurate image
28,Գրեք գործարքի մոտավոր ժամանակը հետևյալ ձևով,Запишите примерное время совершения транзакции в данном формате,Write the approximate time of transaction in this form
29,Գրեք ուղարկված գումարի չափը,Запишите переведенную сумму,Write the sent amount
30,Կխնդրենք հետևել տվյած ձևին,Придерживайтесь указанного формата,"Please, follow the form"
31,"Օգտատերը չունի չեկ, կխնդրեմ ստուգել դրա առկայությունը տրված ժամով և գումարի քանակով","У пользователя нету чека, прошу проверить наличие чека с указанным временем и суммой","User doesn't have the invoice, please check the presence of it by this date and amount"
32,"Եթե չունեք չեկ, սեղմեք Լրացնել ձեռքով կոճակը","Если у вас нету чека, то нажмите на кнопку 'Введите вручную'","If you don't have the invoice, press the 'Enter manually' button"
33,"Եթե չեկը լիովին ստուգված է, սեղմեք Confirm և ուղարկեք բլոկչեյնի հղումը","Если чек полностью проверен, нажмите 'Confirm' и отправьте ссылку блокчейна","If the invoice is fully checked, press 'Confirm' and send blockchain link"
34,և ոչ ավել ,и не более,and no more 
35,հղումները գրելուց հետո ավելացրեք վերին ID-ն,после написания url-адреса добавьте верхний идентификатор,"after writing the url, add the top id"
36,գումարը փոխանցեք այս հաշվին,переведите деньги на этот счет,transfer money to this account
